0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511
-0.005337626,-0.068292685,-0.07756363,0.04052999,-0.00039894562,-0.09579063,0.07340512,0.051043447,0.02695966,0.018564194,-0.0051940857,0.010916985,-0.016388316,0.028648088,-0.0416784,0.036553387,-0.09477156,0.025194878,-0.043511525,0.0734188,-0.005557258,0.050743274,-0.021691578,-0.027138531,-0.018569266,0.03028887,-0.024020528,-0.07068647,0.012849069,-0.04774424,0.044741746,0.008094437,0.0041849916,-0.016165914,0.01396438,0.06696706,-0.03759156,0.026933728,0.006382676,0.026977248,-0.040949572,-0.006124086,0.0019936247,-0.044411447,-0.031051656,-0.010591402,-0.08081412,0.04210994,-0.012413718,0.048520662,0.037660062,-0.03828777,0.023698492,0.03410035,-0.0895607,-0.024536157,-0.018380377,-0.013035495,-0.055632997,-0.026658777,0.018053891,0.00070183375,0.039137803,0.059364915,-0.044375163,-0.05609047,-0.02730933,-0.041381992,0.052906506,-0.010228445,-0.061823603,-0.04324248,0.03352693,-0.048814654,-0.024795264,-0.02278556,0.014718265,-0.0243601,0.017268088,0.001560751,0.005735295,0.020009935,-0.029078241,-0.019155983,0.018766493,0.039584838,0.07068534,-0.022766804,-0.047826465,-0.009925941,0.006114693,0.003787893,0.0071862764,-0.028924786,0.03198548,0.02395485,0.042045027,-0.088364065,-0.06993506,0.026197817,0.005968446,0.025870193,0.067960426,0.04371196,0.024823306,-0.08737502,-0.016941005,0.048614424,0.06350897,-0.023530247,0.053397644,0.012599787,0.06551483,-0.051965058,0.020967633,-0.11753515,-0.04621302,-0.0014433453,-0.09986087,-0.03338397,-0.0045503937,-0.027152851,-0.055421494,0.03404598,-0.08922089,-0.074313365,-0.08010952,-0.015583285,-0.01336493,0.054081257,0.015122888,-0.04224553,-0.009402748,-0.044470016,0.021575166,0.041945707,0.07631696,0.03773656,0.039178252,0.10310516,0.07535661,0.035476305,0.007101222,0.049794376,-0.011296036,0.024248518,-0.009160182,0.051251307,-0.060280237,0.0022366703,-0.010339416,0.023169316,-0.024848158,-0.06403596,0.028589856,-0.012389215,0.017137786,0.10299439,-0.07789389,0.019997856,-0.023460869,0.016858103,0.042655304,-0.038262792,0.0049371286,-0.016157024,-0.067829184,0.00017296575,0.015494477,-0.03974604,-0.021156054,-0.066388585,0.025816424,0.048298374,0.080542855,9.0836365e-05,-0.1028391,-0.04826522,-0.019075427,0.053391725,-0.10872244,0.021844676,-0.02164687,-0.071455635,-0.004956876,0.0109977005,0.038603157,-0.08823988,-0.056847483,-0.01084127,-0.01924463,-0.020616548,0.021278,-0.0025085013,0.03124893,0.034138348,-0.07328831,0.039645165,0.066812634,-0.02453244,-0.0019616599,0.055272844,-0.08347335,-0.028338592,0.05379867,-0.024346061,0.075627655,0.0055112266,-0.010866808,-0.017193157,-0.03412305,-0.028721675,0.019138036,-0.033842698,-5.132892e-05,0.041368134,-0.02336048,0.038814563,0.037389368,-0.032434735,0.030018225,0.01410932,0.044290055,0.06494198,0.063932374,-0.045356452,0.010616005,-0.038337674,-0.021181274,-0.014691262,0.026624857,0.033413902,-0.0020183562,-0.03138343,-0.059935443,-0.0008305778,-0.058277518,0.018089816,6.14578e-05,-0.04116584,-0.03708169,-0.08658651,-0.017571105,0.0022786495,0.022426458,0.04567654,0.025878834,0.023895893,0.012954854,0.034224298,-0.05877532,-0.011751725,0.0015044566,0.039952867,0.021838427,-0.020298347,-0.07124721,-0.021997502,-0.029846441,0.039397303,0.040185854,0.020541405,-0.033734083,0.0005559537,0.03725579,-0.02430801,-0.03010843,-0.00973265,-0.018109102,0.0031172084,-0.024079574,-0.07087432,-0.022312969,0.030922193,0.085961476,0.058851503,0.049386814,-0.02668388,-0.0644615,0.074691094,-0.03332214,-0.0049552093,-0.007406169,-0.00988165,-0.06634212,-0.01972656,-0.0068660066,0.0486023,-0.005042368,0.0870532,-0.0017399532,-0.048475046,0.038380343,-0.02051222,-0.018170457,-0.00019741518,-0.0595159,-0.052232947,-0.064645395,0.023117755,-0.052282866,0.05655651,0.035344753,-0.0007582451,-0.043815244,-0.0147649245,-0.05801903,-0.012191119,0.02290787,-0.047070388,-0.017325692,0.023828901,-0.009539804,-0.023427762,0.008314478,0.04145733,0.039677143,-0.019138034,0.014747034,-0.04106673,-0.06726299,0.012924517,0.023446912,0.0079011675,-0.0057849023,0.06979174,-0.092452124,0.0145386765,-0.05435845,-0.010647189,0.02819753,0.024480075,-0.03431599,0.037314154,0.03237607,0.004541197,0.050612547,0.035273816,-0.043206755,-0.06673109,0.035752077,-0.02229236,0.067996286,-0.04899095,0.04059,-0.0328012,-0.012023585,0.016347127,-0.021263665,-0.03400764,-0.060447387,0.016558414,0.03419583,-0.047797225,0.022457903,-0.027861793,-0.05280531,-0.024436275,0.034576043,-0.027870212,0.041569907,0.055112418,0.06212885,0.0025941387,0.036568925,-0.0083809085,0.022723615,0.07091954,0.012137946,-0.13790031,-0.0003244429,0.0030843006,0.042415425,0.0722149,-0.0880735,0.006225209,-0.04604409,0.12206197,-0.018521316,0.0008154895,0.007961212,0.10124814,0.025247782,0.014480298,0.045985956,-0.06979567,-0.022353783,0.008226698,-0.090485595,0.05236619,0.105179936,-0.07632768,-0.03952335,-0.017287962,-0.048350506,-0.050244935,-0.05738795,0.02236028,-0.013859516,-0.044087224,-0.0051009012,-0.09020883,-0.07881388,0.02717094,0.0039428645,0.108712725,-0.036124066,-0.03147317,-0.017525721,-0.05395694,-0.02345722,0.034989875,0.007613877,-0.09276215,-0.034748234,-0.0052901288,0.009347036,-0.051877066,-0.059376355,-0.05270684,0.070968285,-0.014982887,-0.014455844,-0.052694287,0.016327305,0.05112273,0.07267895,-0.009761721,0.055887844,0.005712463,-0.035805367,-0.050401125,0.0131347515,-0.059179395,-0.00095538463,-0.011074578,-0.03635665,-0.015318921,-0.06623028,0.03858567,-0.046207137,0.041953076,-0.06976056,0.064655595,-0.06284623,-0.037081167,-0.045930557,0.013758133,0.03197025,-0.04196231,0.03877831,-0.045537107,-0.023272969,0.060255557,0.018862896,-0.030230049,-0.013597147,-0.028684499,0.040176686,0.02736357,0.029636785,0.05258344,0.069223166,0.04423562,-0.025702039,0.10732022,0.09056589,-0.04903199,-0.03043252,-0.0026724166,-0.03507343,0.014153695,-0.023948537,-0.0434166,-0.04058379,0.05219749,-0.06863889,0.008242008,0.048343465,-0.06479035,-0.022075752,-0.021691658,0.010549592,0.03454113,0.015321703,-0.014584364,0.004304656,0.038660888,-0.046219822,-0.06626945,0.047984686,-0.026216302,0.056157317,-0.004501376,0.061852597,0.03293983,-0.036865287,0.015160152,0.0379917,-0.09954398,0.039486427,0.00021854139,-0.01383929,-0.01827038,0.048791386,0.01625535,0.03820373,0.0035858343,-0.015585818,-0.07855051,0.018289713,0.01169617
0.037208743,-0.05306423,-0.027462559,0.055578455,0.004362405,-0.0767969,0.07637753,0.0212658,0.029372659,-0.010013304,0.030752573,-0.046567682,-0.04196995,-0.007934362,0.028748628,0.073252305,-0.06281445,-0.025379341,-0.056830607,0.047430906,-0.00612928,-0.023209147,-0.04432903,-0.017423097,-0.067305975,0.06650726,-0.0022853834,-0.065592915,0.012490101,-0.04927428,0.028778944,0.066140875,0.02815959,-0.0042695035,-0.037929107,0.033056293,0.010530386,0.039136626,0.0062365048,0.036019124,-0.008696651,0.0011070662,-0.015413784,-0.02455013,-0.003059914,-0.05865409,-0.019922586,0.050174955,-0.020123053,0.05080035,0.008670828,0.0178643,-0.0005015879,0.02586059,-0.06904928,-0.015140959,0.04574104,-0.08308348,-0.029975804,-0.012489209,-0.01699997,0.0022865597,-0.012562161,0.010901283,0.0027599612,-0.015047855,-0.015942037,-0.08189379,0.022030601,-0.06323473,-0.029179052,-0.024359995,-0.0111882,-0.03961647,-0.059642337,0.055522155,0.03864464,-0.029131731,-0.05953862,0.032653008,0.011868266,0.017387688,-0.06016304,0.020832064,0.102979235,0.017829776,0.034250014,0.023954554,-0.03953809,-0.022555431,-0.024285937,-0.046475146,-0.011782544,-0.027314581,0.05540051,0.032295182,-0.033093415,-0.07821295,-0.031857535,0.010343193,-0.019978281,-0.013262451,-0.0017726787,0.044326987,0.042696364,-0.041148473,0.0068064956,0.004611397,0.0456632,-0.03555447,0.039777804,-0.0047302465,0.00037400855,-0.07277249,-0.03941061,-0.05619923,-0.051326804,-0.068971254,-0.03296925,0.014145353,-0.008438007,-0.049606953,-0.0291927,0.031462286,-0.089234285,-0.12438334,-0.022474533,-0.10483014,0.015870625,0.014860503,0.028074514,-0.028922537,0.018563055,-0.020382052,-0.010841312,0.037991893,0.07245637,-0.055352457,0.038331337,0.03579932,0.10855149,0.03824315,-0.04378087,0.046526376,0.005376495,0.01734277,0.011051644,0.02500852,-0.09867433,0.013541778,-0.009531348,0.04450634,-0.026639184,-0.077373646,0.007907079,0.060996152,-0.020286074,0.11954411,0.0092358375,-0.017734215,0.025563652,0.0033320088,0.02647476,-0.023491701,-0.03519112,-0.011690918,-0.06950275,0.040048916,0.05302239,-0.062317427,0.0027405987,-0.03480923,-0.0012443794,-0.017429253,0.09382207,0.038168192,-0.111924455,-0.08913858,0.0122320475,0.01552267,-0.06517292,0.009488435,-0.03379035,-0.068582006,-0.003995269,-0.021905985,-0.0061822175,-0.01696124,-0.031017803,0.014408051,-0.06981666,-0.0022329001,0.009703184,-0.0031821288,0.02680836,0.037712373,-0.03365006,0.019723289,0.011372428,-0.012028033,0.014934017,0.026915971,-0.004264808,-0.027196612,0.011128346,0.0015911823,0.058518216,0.0033969881,-0.04030423,0.03370841,-0.012634519,-0.03121578,0.032691255,-0.04907964,-0.017648563,0.009993367,-0.012309239,0.012614599,0.020440612,0.0050620227,0.048127457,-0.047443256,0.015765842,0.06905088,-0.013949494,-0.08667673,0.031098844,-0.043218758,-0.08352507,-0.027841741,-0.015598201,0.009830489,-0.028050935,-0.06741827,-0.0705525,-0.024034807,0.029408572,0.08147493,-0.009548867,-0.04409894,0.037534166,-0.06417597,-0.024081927,-0.01125449,-0.020507284,0.04156778,0.0068176696,0.0059635323,-0.044476125,0.023827942,-0.040380925,0.0072246753,0.046014253,0.023635698,-0.039236873,0.03656146,-0.106677435,-0.002198743,0.020868588,0.031369567,0.050769746,0.0032305326,0.011716755,0.004381204,0.03375037,0.03170911,-0.03549867,-0.022311063,-0.041135997,-0.06273557,-0.0077407453,-0.025282798,-0.019851416,-0.012173247,0.06989885,0.058980208,-0.041599184,-0.01190055,-0.09255667,0.103201374,-0.07223029,0.0003731564,0.006496462,0.021844242,-0.067558646,-0.016180417,0.037272952,0.057058148,0.045923427,0.04970241,0.0044853007,-0.04937607,0.030038161,0.029037789,-0.0066813873,-0.0075850356,-0.059367616,-0.06874211,-0.007408336,-0.010080992,-0.10727111,-0.0089707915,0.0093238065,-0.055286054,-0.053749718,0.006163904,-0.042631783,0.061226714,0.042961318,-0.04326943,-0.02545452,0.0053745327,-0.0096563995,-0.035166014,-0.06223886,0.08768454,0.04946796,0.029237952,0.01584254,-0.043331876,-0.080602296,0.015900636,0.035576697,0.0025135607,-0.004666153,0.02396379,-0.097423375,0.08889543,-0.056367096,0.017727692,0.03641456,0.05783885,-0.028622214,0.047930665,-0.0047028093,0.04394997,0.014227506,-0.01915829,-0.010344108,-0.058365636,-0.019170789,-0.036184747,0.014641663,-0.0106901275,0.02534689,-0.08908007,0.030882696,0.009641373,-0.05318636,-0.037254505,-0.071990274,0.06415321,0.044391293,-0.06539617,0.044306483,0.00070657843,-0.06277152,-0.0352487,0.04447424,0.027568884,-0.03479962,0.053525437,0.067689314,-0.034351043,-0.014709063,0.07300324,-0.008891406,0.045145392,0.08537807,-0.075036585,0.036605593,-0.015521445,0.018419296,0.04736318,-0.08056512,0.0040127723,0.013015991,0.08706892,0.015262717,-0.04737117,-0.030821415,0.008290794,-0.024701957,0.015051783,0.021876194,-0.021825014,0.035812717,0.029814212,-0.053390887,-0.01640723,0.08230848,-0.079282545,-0.035155576,-0.015221097,-0.03783049,-0.061127305,-0.07315705,0.022291722,-0.028448934,-0.1235253,0.008764946,-0.058258433,-0.0723029,0.016439714,-0.020701569,0.10008044,-0.047052313,-0.095843635,-0.03890275,-0.046238106,0.021870498,-0.027618632,0.0034052446,-0.14250931,0.006363921,0.058610857,-0.00807248,-0.07895356,-0.044140995,-7.347732e-05,0.06535848,0.00195127,0.01581127,-0.033710975,-0.031590734,0.04116811,0.007358339,0.045208618,0.095330305,0.034604378,-0.043240637,-0.048472147,-0.024764346,-0.06087888,-0.020289265,-0.020170597,-0.057068095,-0.0013539366,-0.044176478,0.033987895,-0.055017766,0.06398853,-0.085354105,0.043815,-0.039236784,-0.056544356,0.038238373,0.0034387258,-0.056072567,0.002733961,-0.018655058,-0.04955002,-0.025898704,0.020468788,0.034299303,-0.036819573,0.02757932,0.0028407993,0.022417065,0.051343955,0.058535554,0.08069112,0.06028972,0.032506134,-0.035652876,0.04563021,0.08531745,-0.015143483,0.0057274625,-0.014712748,-0.007814105,-0.0069842697,-0.0422246,-0.029848393,-0.015852649,0.0055649946,-0.05174455,0.043729704,0.037871838,-0.048664145,-0.0075492775,-0.03011923,-0.0012771519,0.0075197998,-0.003278554,0.017136427,0.019150151,0.047158998,-0.048913993,-0.027491478,0.07754505,-0.020681048,0.07176573,-0.029359575,0.012107237,-0.006664807,-0.021848833,-0.061643004,0.049114745,-0.10785225,0.009936162,-0.005753303,-0.06499524,0.027877448,-0.018796258,0.0019856582,0.040009946,0.0073459665,0.007291466,-0.047864173,-0.0037337781,0.022216983
0.043886516,-0.043941196,-0.025838839,0.034397878,0.022721378,-0.055126406,0.0756555,0.030770147,0.010863094,0.018823585,-0.003909865,-0.06525969,-0.05047806,0.008756877,0.034741785,0.052258234,-0.04019219,-0.001371568,-0.08955091,0.05212978,-0.027595494,0.011500112,-0.0088154245,-0.031441733,-0.065675,0.09441577,0.005123428,-0.08470375,0.043686774,-0.051655002,0.022283468,0.08152447,0.013736906,-0.023077382,-0.015063758,0.042475067,0.012880021,0.019598234,0.0021488387,0.03199793,-0.024422625,-0.006945053,-0.032954812,-0.0201645,0.0034510288,-0.07816334,0.0050588967,0.05018622,-0.027977232,0.05468425,0.034026023,0.0032627098,-0.011013018,0.0055145775,-0.10558858,0.0049900855,0.007962099,-0.08716091,-0.029856041,-0.016018173,-0.007656112,-0.015002253,-0.03480101,-0.00045484764,-0.044291664,-0.04946716,-0.028769476,-0.03038294,0.04138747,-0.049222972,-0.024563257,-0.0038787047,-0.023939649,-0.068550125,-0.06050754,0.031198993,0.038475305,-0.03914054,-0.048136048,0.0037832763,0.015236191,-0.0017425612,-0.042744666,0.010641621,0.07210819,0.019723209,0.02590624,0.019471923,-0.027785124,0.008398212,-0.029662726,-0.07148229,0.013177473,-0.022494387,0.072762474,-0.001730752,-0.05166332,-0.0901206,-0.0553192,-0.015049642,0.02996931,0.024820086,0.033964407,0.046720024,0.06284929,-0.032005567,-0.020013032,-0.031386174,0.04055337,-0.06699332,0.028837858,-0.0017907501,0.019465107,-0.07072341,-0.037601557,-0.06100207,-0.035486467,-0.079482414,-0.020910036,-0.005988226,0.043610487,-0.056190025,-0.04974761,0.03106831,-0.09413355,-0.13563864,-0.036188226,-0.06686085,0.034469344,0.031026725,0.048612982,-0.0104927365,-0.027440172,-0.04884597,0.005494924,0.0022826614,0.056976706,-0.076683,0.053590227,0.08013565,0.087366946,0.052986514,-0.056948654,0.028641723,0.0021168871,0.031411953,0.049584948,-0.027825702,-0.08700611,0.016794706,-0.0077367304,0.023386953,0.0017542229,-0.077918716,0.029143348,0.048356276,-0.005664751,0.11963498,0.02957679,-0.049116038,0.01133125,-0.0166614,-0.014775815,-0.043836765,0.007844469,-0.029458767,-0.038953863,0.018853921,0.03863867,-0.085993566,0.0006735339,-0.035397734,-0.028617285,0.010887806,0.0960914,0.032104984,-0.13483818,-0.078535914,0.011257923,0.038151823,-0.064802244,0.020678598,-0.05532996,-0.074593686,0.031451155,-0.006073056,-0.002211933,-0.031251956,-0.050469544,0.015051281,-0.042545922,0.0033863732,0.0051541748,-0.0005497746,0.06498288,0.020292217,-0.08479844,0.018826237,0.034752093,-0.009726222,-0.011901442,0.016801216,-0.020611517,-0.032388166,-0.0044053234,-0.006689561,0.07938992,0.007976731,-0.029729443,0.013847517,-0.045937702,-0.06550092,0.03202659,-0.04541494,-0.0131062055,0.015286741,-0.024462903,0.024383467,0.02104888,0.024224285,0.06076353,-0.024507836,0.012606623,0.0818539,-0.007894532,-0.07276265,-0.010966019,-0.047608085,-0.04544778,-0.0025391262,-0.019291831,-0.0014020342,-0.040349927,-0.048495237,-0.053090896,-0.045370333,0.0067592394,0.013929488,0.01714729,-0.042100053,0.021138368,-0.09785259,-0.021998137,-0.021010676,0.00385918,0.030355653,-0.011315589,-0.0003140845,-0.028767323,0.034080863,-0.011202369,0.013761262,0.022024792,-0.016432041,-0.05620807,-0.0128207505,-0.057849195,0.006612924,-0.002468999,0.007866284,0.061854552,0.0062145693,0.029137632,0.034782276,0.06328063,0.008616868,-0.016929975,-0.04954142,-0.025245305,-0.038997978,-0.010128124,-0.027974853,-0.00081734307,-0.028013565,0.04073414,0.0564907,-0.036609814,0.0032556825,-0.10782452,0.07117826,-0.057393983,0.0059464537,0.024920879,0.041735772,-0.08140748,-0.03026147,0.034906443,0.04526218,0.039691724,0.01243545,-0.02666117,-0.047070354,0.0018941398,-0.010703343,-0.027199991,0.0005777788,-0.070319034,-0.068671554,-0.019799337,-0.012271484,-0.08435765,-0.0071203145,-0.0058502466,-0.06730311,-0.050780445,-0.041717723,-0.03637934,0.046047848,0.009423635,-0.005404419,-0.013238785,-0.021726325,-0.06905304,-0.05959607,-0.035914328,0.052586038,0.022845328,0.043771524,0.0022795002,-0.052170943,-0.061556797,0.030749243,0.03538415,0.016987298,-0.026565447,0.039620653,-0.11167704,0.09635022,-0.036174964,-0.005979651,0.014174394,0.035521287,-0.012448117,0.04095404,-0.0105820205,0.0151387425,0.04119397,-0.013034949,-0.011955724,-0.06035128,-0.038251746,-0.020821463,0.015498311,0.0041222475,0.04007549,-0.029740328,0.026217943,-6.534801e-05,-0.028844938,-0.05584563,-0.042185165,0.047480885,0.033209123,-0.10605656,0.056167394,-0.021852054,-0.06634162,-0.040420037,0.00029082352,7.583009e-05,-0.009999146,0.032463092,0.03108815,-0.019821227,0.0074920496,0.03887013,0.053574085,0.05103858,0.07729419,-0.0814491,-0.0087559195,-0.023805624,0.042417336,0.047411308,-0.078976244,-0.008738918,-0.028534247,0.111017704,0.00037274288,-0.053523753,-0.038679365,-0.0052475147,-0.05169284,0.022958769,0.029892769,-0.014313285,0.00039565776,0.04601566,-0.08205132,-0.019458132,0.07118162,-0.052991625,-0.07774396,-0.0022525874,-0.055522334,-0.062202096,-0.06451326,0.01493184,-0.026559519,-0.113797024,-0.039419305,-0.048879232,-0.07500555,0.05648987,-0.024847558,0.08180147,-0.058907006,-0.08657123,-0.025863593,-0.05595198,0.01854676,-0.023547865,-0.009428793,-0.1035603,-0.011451846,0.061019987,-0.012803603,-0.08151079,-0.012661872,-0.046209987,0.068475366,-0.011343239,-0.0029121484,-0.047844786,-0.022763828,0.03704863,0.012767421,0.015131508,0.054048244,0.048384536,-0.047827266,-0.07185088,-0.029386466,-0.052696183,-0.02645177,-0.028661817,-0.03582719,0.016151382,-0.042631928,0.041253787,-0.06550221,0.062582366,-0.094399,0.011353399,-0.056118913,-0.047812056,0.020106262,0.0034066709,-0.008009766,-0.037233587,0.0026286747,-0.0086273,-0.0030187236,0.018404141,0.064457275,-0.024631895,-0.008756531,0.037633494,0.015077056,0.062946394,0.06350503,0.082172744,0.07813291,0.055063926,-0.023222577,0.052010406,0.082922146,-0.01907557,0.015429574,-0.028277526,-0.025674647,-0.004467422,-0.041676827,0.0038956287,-0.020844374,0.01000909,-0.0076154997,0.003862506,-0.0026559175,-0.048690367,0.023545917,0.004225696,-0.0050313277,-0.012139895,0.02777466,0.05227512,0.0009752346,0.03352731,-0.014783035,-0.03740258,0.07310765,-0.052858975,0.062673636,-0.03520501,0.009390602,-0.016369885,-0.03105343,-0.057164434,0.04960907,-0.09571886,0.013522602,-0.044942457,-0.013682268,0.007972945,0.01950329,0.028361056,0.04334724,0.032408554,0.00357197,-0.07246184,0.0045511075,0.02998797
